,Place,State,Frequency,Year,Visitors
0,Taj Mahal,Uttar Pradesh,Annual,2023,6090000
1,Qutub Minar,Delhi,Annual,2023,3120000
2,Agra Fort,Uttar Pradesh,Annual,2023,1410000
3,Ram Mandir (Ayodhya),Uttar Pradesh,Jan–Sep,2024,135500000
4,Uttar Pradesh,Uttar Pradesh,Annual,2023,478526000
5,Tamil Nadu,Tamil Nadu,Annual,2023,286012000
6,Karnataka,Karnataka,Annual,2023,284121000
7,Andhra Pradesh,Andhra Pradesh,Annual,2023,254706000
8,Gujarat,Gujarat,Annual,2023,178067000
9,Rajasthan,Rajasthan,Annual,2023,179052000
10,Maharashtra,Maharashtra,Annual,2023,161360000
11,West Bengal,West Bengal,Annual,2023,145669000
